127.0.0.1 - - [31/Dec/2020:16:02:06 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:02:07 +0900] "GET /dabom/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:02:07 +0900] "GET /dabom/login.do HTTP/1.1" 200 5371
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:02:07 +0900] "GET /dabom/resources/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:02:07 +0900] "GET /dabom/resources/image/cherry-blossom.png HTTP/1.1" 200 22033
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:02:07 +0900] "GET /dabom/resources/js/wordcloud.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:02:22 +0900] "GET /dabom/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:02:22 +0900] "GET /dabom/login.do HTTP/1.1" 200 5371
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:02:22 +0900] "GET /dabom/resources/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:02:22 +0900] "GET /dabom/resources/js/wordcloud.js HTTP/1.1" 200 2288
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:02:22 +0900] "GET /dabom/resources/image/cherry-blossom.png HTTP/1.1" 200 22033
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:02:22 +0900] "GET /dabom/resources/image/kakao.png HTTP/1.1" 200 2946
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:02:22 +0900] "GET /dabom/resources/image/naver.PNG HTTP/1.1" 200 11892
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:02:29 +0900] "GET /dabom/oauth/kakao/callback.do?code=8u5D-BuduKxfO4n_J0XTIYhkMBGGqU7YUgQoQrJCgtDYV8fFWt8w6X60sBE1K5V1r5XwAwopb7kAAAF2t5rYrA HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:02:31 +0900] "GET /dabom/mainpage.do HTTP/1.1" 200 43940
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:02:31 +0900] "GET /dabom/resources/css/header.css HTTP/1.1" 200 6259
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:02:31 +0900] "GET /dabom/resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:02:31 +0900] "GET /dabom/resources/css/write.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:02:31 +0900] "GET /dabom/resources/js/write.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:02:31 +0900] "GET /dabom/resources/css/updatemember.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:02:31 +0900] "GET /dabom/resource/js/scroll.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:02:31 +0900] "GET /dabom/resources/css/insertdonation.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:02:31 +0900] "GET /dabom/resources/profile_img/ddks.png HTTP/1.1" 200 574732
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:02:31 +0900] "GET /dabom/resources/js/header.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:02:31 +0900] "GET /dabom/resources/image/profile_default.jpg HTTP/1.1" 200 3265
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:02:31 +0900] "GET /dabom/resources/feed_img/2020113165929405.jpg HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:02:31 +0900] "GET /resources/image/red_heart.png HTTP/1.1" 404 844
