0:0:0:0:0:0:0:1 - - [29/Dec/2020:20:38:28 +0900] "GET /dabom/resources/image/profile_default.jpg HTTP/1.1" 200 3265
0:0:0:0:0:0:0:1 - - [29/Dec/2020:20:38:28 +0900] "GET /dabom/resources/profile_img/pp.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [29/Dec/2020:20:38:28 +0900] "GET /dabom/resources/profile_img/heart.png HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [29/Dec/2020:20:38:28 +0900] "GET /dabom/resources/feed_img/202011287447612.jpg HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [29/Dec/2020:20:38:28 +0900] "GET /dabom/resources/feed_img/2020112874525158.JPG HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [29/Dec/2020:20:38:28 +0900] "GET /dabom/resources/feed_img/2020112874524838.jpg HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [29/Dec/2020:20:38:28 +0900] "GET /dabom/resources/feed_img/2020112874525439.jpg HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [29/Dec/2020:20:38:29 +0900] "GET /dabom/resources/profile_img/heart.png HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [29/Dec/2020:20:38:29 +0900] "GET /dabom/resources/profile_img/pp.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [29/Dec/2020:20:38:29 +0900] "GET /dabom/resource/js/scroll.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [29/Dec/2020:20:38:29 +0900] "GET /dabom/chatroomlist.do?member_no=1 HTTP/1.1" 200 863
0:0:0:0:0:0:0:1 - - [29/Dec/2020:20:38:29 +0900] "GET /dabom/resources/profile_img/favicon.png HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [29/Dec/2020:20:38:40 +0900] "GET /dabom/chatmsglist.do?chatroom_no=2 HTTP/1.1" 200 7098
0:0:0:0:0:0:0:1 - - [29/Dec/2020:20:38:40 +0900] "GET /dabom/resources/css/chatroom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2020:20:38:40 +0900] "GET /dabom/echo.do HTTP/1.1" 101 -
